POA_CODE_2021,POA_NAME_2021,LHD_CODE,lhd_name,FRAC_INCLUDED
2000,2000,X700,Sydney Local Health District,0.05
2000,2000,X720,South Eastern Sydney Local Health District,0.95
2007,2007,X700,Sydney Local Health District,0.96
2007,2007,X720,South Eastern Sydney Local Health District,0.04
2008,2008,X700,Sydney Local Health District,1.00
2008,2008,X720,South Eastern Sydney Local Health District,0.00
2009,2009,X700,Sydney Local Health District,1.00
2010,2010,X700,Sydney Local Health District,0.04
2010,2010,X720,South Eastern Sydney Local Health District,0.96
2011,2011,X720,South Eastern Sydney Local Health District,1.00
2015,2015,X700,Sydney Local Health District,1.00
2015,2015,X720,South Eastern Sydney Local Health District,0.00
2016,2016,X700,Sydney Local Health District,1.00
2017,2017,X700,Sydney Local Health District,1.00
2017,2017,X720,South Eastern Sydney Local Health District,0.00
2018,2018,X700,Sydney Local Health District,0.37
2018,2018,X720,South Eastern Sydney Local Health District,0.63
2019,2019,X720,South Eastern Sydney Local Health District,1.00
2020,2020,X700,Sydney Local Health District,0.02
2020,2020,X720,South Eastern Sydney Local Health District,0.98
2021,2021,X720,South Eastern Sydney Local Health District,1.00
2022,2022,X720,South Eastern Sydney Local Health District,1.00
2023,2023,X720,South Eastern Sydney Local Health District,1.00
2024,2024,X720,South Eastern Sydney Local Health District,1.00
2025,2025,X720,South Eastern Sydney Local Health District,1.00
2026,2026,X720,South Eastern Sydney Local Health District,1.00
2027,2027,X720,South Eastern Sydney Local Health District,0.97
2028,2028,X720,South Eastern Sydney Local Health District,0.99
2029,2029,X720,South Eastern Sydney Local Health District,0.99
2030,2030,X720,South Eastern Sydney Local Health District,0.98
2031,2031,X720,South Eastern Sydney Local Health District,1.00
2032,2032,X720,South Eastern Sydney Local Health District,1.00
2033,2033,X720,South Eastern Sydney Local Health District,1.00
2034,2034,X720,South Eastern Sydney Local Health District,1.00
2035,2035,X720,South Eastern Sydney Local Health District,1.00
2036,2036,X720,South Eastern Sydney Local Health District,0.99
2037,2037,X700,Sydney Local Health District,1.00
2038,2038,X700,Sydney Local Health District,1.00
2039,2039,X700,Sydney Local Health District,0.99
2040,2040,X700,Sydney Local Health District,1.00
2041,2041,X700,Sydney Local Health District,0.96
2041,2041,X720,South Eastern Sydney Local Health District,0.03
