postcode,locality,manual_canonical,manual_special,manual_old
1209,AUSTRALIA SQUARE,2000,1,
1216,GROSVENOR PLACE,2000,1,
1220,GROSVENOR PLACE,2000,1,
1221,ROYAL EXCHANGE,2000,1,
1226,QUEEN VICTORIA BUILDING,2000,1,
1405,CHULLORA,2190,1,
1419,SOUTHERN SUBURBS MC,2000,1,
1420,STRAWBERRY HILLS,2010,1,
1466,UNSW SYDNEY,2033,1,
1481,HURSTVILLE BC,2220,1,
1485,KOGARAH,2217,1,
1515,WEST CHATSWOOD,2067,1,
1602,LANE COVE DC,2066,1,
1635,HORNSBY WESTFIELD,2077,1,
1670,NORTH RYDE BC,2113,1,
1781,SEVEN HILLS MC,2147,1,
1825,LIDCOMBE,2141,1,
1835,AUBURN,2144,1,
1851,WETHERILL PARK DC,2164,1,
1874,MOOREBANK,2170,1,
1875,MOOREBANK,2170,1,
2002,WORLD SQUARE,2000,1,
2004,EASTERN SUBURBS MC,1314,1,
2004,ALEXANDRIA MC,2015,1,
2006,THE UNIVERSITY OF SYDNEY,2050,1,
2052,UNSW SYDNEY,2033,1,
2055,NORTH SYDNEY,2060,1,
2058,NORTHERN SUBURBS MC,,1,
2091,HMAS PENGUIN,,1,
2108,MORNING BAY,2105,,1
2109,MACQUARIE UNIVERSITY,2113,1,
2129,SYDNEY MARKETS,2140,1,
2139,CONCORD REPATRIATION HOSPITAL,2138,1,
2200,MOUNT LEWIS,2190,,1
2252,CENTRAL COAST MC,,1,
2287,SUMMER HILL,2130,,1
2309,DANGAR,2083,1,
2310,HUNTER REGION MC,,1,
2314,WILLIAMTOWN RAAF,2318,1,
2324,CELLS RIVER,2424,,1
2324,WALLAROO,2618,,1
2329,BORAMBIL,2343,,1
2348,NEW ENGLAND MC,,1,
2351,UNIVERSITY OF NEW ENGLAND,2350,1,
2358,BAKERS CREEK,2359,,1
2388,JEWS LAGOON,2397,,1
2423,WALLINGAT,2428,,1
2424,WOODSIDE,2372,,1
2441,BONVILLE,2450,,1
2441,BRINERVILLE,2454,,1
2442,MID NORTH COAST MC,,1,
2442,MID NORTH COAST MSC,,1,
2442,KEMPSEY MSC,2440,1,
2443,BOBS CREEK,2439,,1
2443,HERONS CREEK,2439,,1
2446,GEARYS FLAT,2441,,1
2446,MARLO MERRICAN,2441,,1
2460,DIRTY CREEK,2456,,1
2460,KEYBARBIN,2469,,1
2469,BANYABBA,2460,,1
2470,ALICE,2469,,1
2480,UPPER COOPERS CREEK,2482,,1
2484,BOAT HARBOUR,2316,,1
2522,UNIVERSITY OF WOLLONGONG,2525,1,
2536,MERRICUMBENE,2622,,1
2536,MURRENGENBURG,2622,,1
2545,STONY CREEK,2550,,1
2546,GREENDALE,2550,,1
2550,BOURNDA,2548,,1
2550,MURRAH,2546,,1
2624,KOSCIUSKO,2627,,1
2630,JIMENBUEN,2628,,1
2630,LONG PLAIN,2629,,1
2630,NIMMO,2628,,1
2632,NUNGATTA,2551,,1
2648,BOEILL CREEK,2739,,1
2648,MOURQUONG,2739,,1
2650,BERRY JERRY,2701,,1
2650,WESTDALE,2653,,1
2652,GALORE,2650,,1
2661,KAPOOKA,2661,0,
2663,BUNDURE,2700,,1
2663,COWABBIE,2652,,1
2666,QUANDARY,2665,,1
2669,NORTH YALGOGRIN,2671,,1
2678,CHARLES STURT UNIVERSITY,2650,1,
2708,MURRAY REGION MC,,1,
2708,ALBURY MSC,2640,1,
2729,BACK CREEK,2372,,1
2734,KYALITE,2715,,1
2756,LEETS VALE,2775,,1
2795,ESSINGTON,2787,,1
2795,TAMBAROORA,2850,,1
2798,BYNG,2800,,1
2820,NORTH YEOVAL,2868,,1
2825,BOGAN,2826,,1
2828,TONDERBURINE,2817,,1
2831,ARMATREE,2828,,1
2831,BALLADORAN,2822,,1
2831,BULLAGREEN,2824,,1
2831,EUMUNGERIE,2822,,1
2831,GEURIE,2818,,1
2831,GOODOOGA,2838,,1
2831,NEVERTIRE,2826,,1
2831,PINE CLUMP,2824,,1
2831,PONTO,2818,,1
2831,TERRABELLA,2818,,1
2831,TOORAWEENAH,2817,,1
2832,ANGLEDOOL,2834,,1
2832,BULYEROI,2387,,1
2835,GILGUNNIA,2877,,1
2864,BOREE,2800,,1
2871,GUNNING GAP,2876,,1
2890,AUSTRALIAN DEFENCE FORCES,,1,
2890,FORCES,,1,
2891,INTERNATIONAL MC,2020,1,
2891,SYDNEY GATEWAY FACILITY,2020,1,
3500,PARINGI,2738,,1
3586,MALLAN,2734,,1
,,,,
